id_operator,id_document,designation,item_code,ia_product,id_etablishment,conditioning_unit,quantity,unit_price_without_tax,item_discount
47,36027,Oignon rge 50/70 5K c1 FR,106534,oignon rouge,264,KG,5.0,1.9,0.0
47,36027,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,4.0,6.555,0.0
47,36027,HF basilic sac 100g KE,195823,basilic frais,264,SAC,6.0,1.9,0.0
47,36027,HF basilic sac 100g KE,195823,basilic frais,264,SAC,5.0,1.9,0.0
47,36027,Aubergine 300/400 HVE plt 5K B&E c1 REG°,244337,aubergine entiere,264,KG,5.0,1.6,0.0
47,36027,Palourde japonaise el moyen 3K,101829,palourde,264,KG,6.0,10.9,0.0
47,36028,Puree passion 1KX6 Ponthier°,102388,puree passion,264,KG,2.0,9.95,0.0
47,36028,Puree grenade 1KX6 Ponthier°,102487,puree grenade,264,KG,2.0,8.8,0.0
47,36028,Puree avocat HPP dec 1KX6 JDM,287682,puree abricot,264,KG,2.0,10.5,0.0
47,36028,Sal jp mel provencal 500gX2 % UE/PT°°,103635,salade melange pousses,264,KG,3.0,5.2,0.0
47,36028,Oignon rge 50/70 5K c1 FR,106534,oignon rouge,264,KG,5.0,1.9,0.0
47,36028,HF menthe sac 100g MA,110061,menthe botte,264,SAC,2.0,1.9,0.0
47,36028,HF origan sac 30g MA,110356,origan entier,264,SAC,1.0,1.52,0.0
47,36028,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,1.0,1.9,0.0
47,36028,Radis red meat 5K FR°°,112538,radis red meat,264,KG,2.0,4.335,0.0
47,36028,Ananas xsweet 9F B&E c1 CR°,122984,ananas sweet,264,KG,1.263,2.439,0.0
47,36028,Orange val late 8 105F c2 ZA,140959,orange valencia late,264,KG,15.5,3.135,0.0
47,36028,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,4.0,6.555,0.0
47,36028,Courge butternut ~12K 12P REG,191993,courge butternut,264,KG,4.0,2.625,0.0
47,36028,HF basilic sac 100g KE,195823,basilic frais,264,SAC,10.0,1.9,0.0
47,36028,HF basilic sac 100g KE,195823,basilic frais,264,SAC,1.0,1.9,0.0
47,36028,HF ciboulette sac 100g KE,197176,ciboulette botte,264,SAC,1.0,1.9,0.0
47,36028,Fraise ronde film bq 500gX10 c1 REG,209374,fraise,264,BQT,2.0,4.355,0.0
47,36028,Fleur viola 1bq FR,209681,sel fleur,264,BQT,12.0,6.555,0.0
47,36028,Concombre 300/400 14P c1 ES,219297,concombre,264,KG,0.643,2.628,0.0
47,36030,Courgette 21/35 5K c1 FR,107460,courgette,264,KG,5.0,2.186,0.0
47,36030,HF thym sac 100g MA,110720,thym entier,264,SAC,1.0,2.97,0.0
47,36030,HF menthe botte nue 100g FR,111540,menthe botte,264,BOT,1.0,1.9,0.0
47,36030,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,10.0,1.15,0.0
47,36030,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,5.0,1.15,0.0
47,36030,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,1.0,6.84,0.0
47,36030,Champ paris bl moy PC 3K c1 REG,157419,champignon blanc,264,KG,6.0,2.95,0.0
47,36030,Tom cer rde mixte 4K c2 REG,175595,tomate cerise rouge,264,KG,4.0,6.555,0.0
47,36030,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,2.0,6.555,0.0
47,36030,HF basilic sac 100g KE,195823,basilic frais,264,SAC,8.0,1.9,0.0
47,36030,HF basilic sac 100g KE,195823,basilic frais,264,SAC,5.0,1.9,0.0
47,36030,HF ciboulette sac 100g KE,197176,ciboulette botte,264,SAC,1.0,1.9,0.0
47,36030,Fleur viola 1bq FR,209681,sel fleur,264,BQT,10.0,6.555,0.0
47,36030,Aubergine 300/400 HVE plt 5K B&E c1 REG°,244337,aubergine entiere,264,KG,5.0,1.6,0.0
47,36030,Palourde japonaise el moyen 3K,101829,palourde,264,KG,6.0,10.9,0.0
47,36031,Ail pele 4G 1KX12 CN°,197940,ail pele,264,KG,1.0,6.55,0.0
47,36031,Sal jp roquette 500gX2 100% IT°°,103536,jeune pousse roquette,264,KG,3.0,5.2,0.0
47,36031,HF thym sac 100g MA,110720,thym entier,264,SAC,1.0,2.97,0.0
47,36031,HF persil plat 1K ES,112921,persil botte,264,KG,1.0,4.9,0.0
47,36031,Sal iceberg 10P ~5K c1 ES,113244,salade iceberg,264,PU,40.0,1.15,0.0
47,36031,Sal coeur sucrine flow 3PX12 c1 ES,113272,salade sucrine,264,SAC,12.0,1.71,0.0
47,36031,Sal mache bq 500gX2 100% c1 FR°°,113315,salade mache,264,KG,2.0,6.84,0.0
47,36031,Piment vert 4K MA,114145,piment vert,264,KG,1.0,5.38,0.0
47,36031,Poivron vert 70/90 1KX5 c1 REG,149653,poivron vert entier,264,KG,3.0,4.097,0.0
47,36031,Champ paris bl moy PC 3K c1 REG,157419,champignon blanc,264,KG,15.0,2.95,0.0
47,36031,Champ paris bl moy PC 3K c1 REG,157419,champignon blanc,264,KG,9.0,2.95,0.0
47,36031,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,5.0,6.556,0.0
47,36031,Tom cer mixte 1K Azura c1 MA,187144,tomate cerise rouge,264,KG,6.0,6.555,0.0
47,36031,Courge butternut ~12K 12P REG,191993,courge butternut,264,KG,1.94,2.629,0.0
