interpretation_product,conditioning,price,weight_in_g,cluster,price_original,weight_original
amande decortique grise,CAR 10 KG       ,6.22,10000.0,0,6.22,10000.0
amande decortique grise,CAR 10 KG         ,6.22,10000.0,0,6.22,10000.0
amande effilee,CAR 5 KG        ,7.16,5000.0,0,7.16,5000.0
amande effilee,CAR 5 KG          ,7.16,5000.0,0,7.16,5000.0
amande poudre,CAR 10 KG       ,5.7299999999999995,10000.0,0,5.7299999999999995,10000.0
amande poudre,CAR 10 KG         ,5.743333333333333,10000.0,0,5.743333333333333,10000.0
andouillette nature,7 KG,11.95,7000.0,1,11.95,7000.0
asperge blanche,(5 kg) Colis 5 kg,13.0,5000.0,1,13.0,5000.0
asperge verte,(10 kg) Colis 5 kg,13.94,10000.0,1,13.94,10000.0
asperge verte,(5 kg) Colis 5 kg,13.973636363636365,5000.0,1,13.973636363636365,5000.0
aubergine entiere,(10 kg) Colis 5 kg,2.25,10000.0,0,2.25,10000.0
aubergine entiere,(15 kg) Colis 5 kg,2.06,15000.0,0,2.0600000000000005,15000.0
aubergine entiere,(17 kg) Colis 5 kg,2.15,17000.0,0,2.1500000000000004,17000.0
aubergine entiere,(5 kg) Colis 5 kg,2.106666666666667,5000.0,0,2.1066666666666674,5000.0
bel,BAG 15 KG       ,6.95,15000.0,0,6.95,15000.0
bel,BAG 15 KG         ,8.205,15000.0,0,8.205,15000.0
bel,BUC 5 KG        ,8.25,5000.0,0,8.25,5000.0
cacao poudre extra,BAG 3 KG        ,9.25,3000.0,0,9.25,3000.0
cassonade,500G,1.57,500.0,0,1.5700000000000003,500.0
celeri rave,(10 kg) Colis 10 kg,1.79,10000.0,0,1.79,10000.0
celeri rave,(11.4 kg) Colis 10 kg,1.79,11400.0,0,1.79,11400.0
celeri rave,(12 kg) Colis 10 kg,1.94,12000.0,0,1.9399999999999995,12000.0
celeri rave,(12.5 kg) Colis 10 kg,1.94,12500.0,0,1.9399999999999995,12500.0
celeri rave,(13 kg) Colis 10 kg,1.79,13000.0,0,1.79,13000.0
celeri rave,(13.4 kg) Colis 10 kg,1.94,13400.0,0,1.9399999999999995,13400.0
celeri rave,(13.5 kg) Colis 10 kg,1.94,13500.0,0,1.9399999999999995,13500.0
champignon paris,u Barquette 500Gr,2.31,500.0,0,2.3100000000000005,500.0
chocolat lait caramel,BAG 15 KG       ,8.47,15000.0,0,8.47,15000.0
chocolat lait caramel,BAG 15 KG         ,8.47,15000.0,0,8.47,15000.0
chocolat lait pepite,BAG 15 KG         ,8.653333333333334,15000.0,0,8.653333333333334,15000.0
chocolat noir perou,BAG 15 KG         ,9.13,15000.0,0,9.13,15000.0
chou rouge,kg Piece 1 kg,1.12,1000.0,0,1.12,1000.0
citron jaune,(10 kg) Colis 5 kg,1.72,10000.0,0,1.7199999999999998,10000.0
citron jaune,(6 kg) Colis 6 kg,1.695,6000.0,0,1.6950000000000003,6000.0
citron jaune,(7 kg) Colis 7 kg,2.268,7000.0,0,2.268,7000.0
citron jaune,Colis 6 kg,1.8,6000.0,0,1.7999999999999998,6000.0
citron vert,"(4.5 kg) Colis 4,5 kg",4.216521739130435,4500.0,0,4.216521739130435,4500.0
creme vegetop 35,BAG 10 KG         ,2.7119999999999997,10000.0,0,2.7119999999999997,10000.0
degraissant friteuse,bidon/10kg,29.8,10000.0,1,29.799999999999997,10000.0
echalote entiere,(5 kg) Sac 5 kg,2.22,5000.0,0,2.2200000000000006,5000.0
echalote entiere,Sac 5 kg,2.07,5000.0,0,2.0700000000000003,5000.0
figue noir,(2 kg) Colis 2 kg,7.87,2000.0,0,7.87,2000.0
fontina,"1,942kg",17.15,1942.0,1,17.15,1942.0
fraise belge,(0.5 kg) Barquette 500 gr,12.085,500.0,1,12.085,500.0
fraise belge,(1 kg) Barquette 500 gr,11.44,1000.0,1,11.44,1000.0
fraise belge,(1.5 kg) Barquette 500 gr,9.3,1500.0,1,9.3,1500.0
fraise belge,(2 kg) Barquette 500 gr,12.495000000000001,2000.0,1,12.495000000000001,2000.0
fraise belge,(2.5 kg) Barquette 500 gr,11.405,2500.0,1,11.405,2499.999999999999
fraise gariguette,(0.5 kg) Barquette 250gr,19.22,500.0,1,19.22,500.0
fraise gariguette,(0.75 kg) Barquette 250gr,20.04,750.0,1,20.04,750.0
fraise gariguette,(1 kg) Barquette 250gr,19.52,1000.0,1,19.52,1000.0
fraise gariguette,(1.25 kg) Barquette 250gr,17.08,1250.0,1,17.08,1250.0
fraise gariguette,(1.5 kg) Barquette 250gr,19.76,1500.0,1,19.76,1500.0
fraise gariguette,(2 kg) Barquette 250gr,19.846666666666668,2000.0,1,19.84666666666667,2000.0
fraise gariguette,(2.5 kg) Barquette 250gr,16.76,2500.0,1,16.76,2499.999999999999
fraise gariguette,(3 kg) Barquette 250gr,20.04,3000.0,1,20.04,3000.0
fraise gariguette,u Barquette 250gr,4.51,250.0,0,4.51,250.0
gelatine boeuf,BUC 3 KG          ,17.84,3000.0,1,17.84,3000.0
glacage miroir,BUC 8 KG        ,3.95,8000.0,0,3.95,8000.0
glacage miroir,BUC 8 KG          ,4.05,8000.0,0,4.05,8000.0
glace pilee,Sac de 2 kg,1.3,2000.0,0,1.2999999999999998,2000.0
glucose sirop,BUC 20 KG         ,2.27,20000.0,0,2.2699999999999996,20000.0
guanciale,3 KG,11.49,3000.0,1,11.49,3000.0
guanciale,42 KG,11.49,42000.0,2,11.49,42000.0
guanciale,8 KG,11.49,8000.0,1,11.49,8000.0
mini dome chocolat noir,BAG 15 KG         ,7.126666666666668,15000.0,0,7.126666666666668,15000.0
mozzarella fiordilatte,0 KG,8.09,0.0,0,8.09,0.0
mozzarella fiordilatte,5 KG,8.09,5000.0,0,8.09,5000.0
nappage starfix spray,BIB 12 KG       ,1.73,12000.0,0,1.7300000000000004,12000.0
nappage starfix spray,BIB 12 KG         ,1.7233333333333334,12000.0,0,1.7233333333333336,12000.0
noisette blanche,CAR 5 KG        ,10.4,5000.0,1,10.4,5000.0
noisette blanche,CAR 5 KG          ,10.46,5000.0,1,10.46,5000.0
noisette entiere,CAR 25 KG       ,8.1,25000.0,0,8.1,25000.0
noisette entiere,CAR 25 KG         ,8.26,25000.0,0,8.26,25000.0
noisette entiere,CAR 5 KG        ,9.375,5000.0,0,9.375,5000.0
noisette entiere,CAR 5 KG          ,9.45,5000.0,0,9.45,5000.0
oignon jaune,(10 kg) Sac 10 kg,0.9921428571428572,10000.0,0,0.9921428571428574,10000.0
oignon jaune,Sac 10 kg,1.02,10000.0,0,1.0200000000000005,10000.0
oignon rouge,(10 kg) Sac 10 kg,1.54,10000.0,0,1.54,10000.0
orange jus naveline,(15 kg) Colis 16 kg,1.29,15000.0,0,1.29,15000.0
orangina 50cl,CAISSE ORANGINA 39,0.71,39.0,0,0.7099999999999991,39.0
pain cereales,590 g,4.37,590.0,0,4.37,590.0
patate douce,(6 kg) Colis 6 kg,2.3133333333333335,6000.0,0,2.3133333333333335,6000.0
